URN,EstablishmentName,LocalAuthority,NO2,PERCTOT,Latitude,Longitude
100182,Eltham Hill School,Greenwich,36,4.5,51.450912,0.045783
100183,Plumstead Manor School,Greenwich,32.2,4.7,51.481909,0.084617
100190,Thomas Tallis School,Greenwich,36.4,6.3,51.466089,0.026277
100192,The John Roan School,Greenwich,33.7,5.2,51.478692,0.009295
100193,St Ursula's Convent School,Greenwich,35.6,2.7,51.475784,-0.00581
100197,Hawksmoor School,Greenwich,29.7,2.8,51.50529,0.111809
100218,Berger Primary School,Hackney,41.6,3.4,51.54649,-0.045137
100221,Colvestone Primary School,Hackney,45.1,3.9,51.549122,-0.072546
100223,Daubeney Primary School,Hackney,35,4.5,51.552358,-0.037875
100224,De Beauvoir Primary School,Hackney,49.7,5.2,51.545712,-0.079712
100225,Gainsborough Primary School,Newham,37.5,5.3,51.546152,-0.025493
100229,Lauriston School,Hackney,39.9,4.2,51.536879,-0.046875
100230,London Fields Primary School,Hackney,41,3.8,51.537504,-0.059033
100231,Millfields Community School,Hackney,36.6,3.9,51.555867,-0.050967
100232,Morningside Primary School,Hackney,44.6,4.5,51.546505,-0.050258
100234,Orchard Primary School,Hounslow,34,3.4,51.461917,-0.374543
100235,Queensbridge Primary School,Hackney,40.4,3.7,51.539287,-0.071748
100236,Randal Cremer Primary School,Hackney,41.2,4.5,51.533075,-0.075055
100239,Princess May Primary School,Hackney,37.3,4.3,51.552779,-0.077438
100240,Sebright School,Hackney,39.1,4.3,51.533366,-0.065481
100241,Shacklewell Primary School,Hackney,38.7,4,51.552826,-0.071522
100242,Southwold Primary School,Hackney,35.2,3.8,51.563438,-0.05363
100243,Thomas Fairchild Community School,Hackney,40.7,3.6,51.533471,-0.091704
100244,Tyssen Community Primary School,Hackney,34.9,4.1,51.568577,-0.066368
100248,Woodberry Down Community Primary School,Hackney,41.4,3.6,51.57319,-0.091051
100250,Kingsmead Primary School,Hackney,34,4.4,51.553583,-0.035298
100251,Sir Thomas Abney School,Hackney,35.6,4.6,51.570794,-0.08144
100252,Grasmere Primary School,Hackney,38.9,3.6,51.555529,-0.0839
100253,Jubilee Primary School,Lambeth,38.9,3.5,51.452411,-0.113884
100254,Nightingale Primary School,Redbridge,32.1,5.5,51.58518,0.032971
100255,Baden-Powell School,Hackney,41.2,3.3,51.557771,-0.058416
100256,Harrington Hill Primary School,Hackney,33.6,4.5,51.567643,-0.053363
100257,Holmleigh Primary School,Hackney,36.8,3.7,51.570253,-0.074233
100258,Grazebrook Primary School,Hackney,35.9,3.3,51.564194,-0.083132
100259,Parkwood Primary School,Hackney,37.5,3.9,51.565069,-0.099313
100260,Benthal Primary School,Hackney,38,4.2,51.558297,-0.065188
100261,Mandeville Primary School,Hackney,34,3.7,51.557138,-0.040352
100263,Holy Trinity Church of England Primary School,Richmond upon Thames,34.8,4.2,51.463405,-0.285825
100264,Our Lady and St Joseph Catholic Primary School,Tower Hamlets,45,3.2,51.509941,-0.019683
100266,St John the Baptist Voluntary Aided Church of England Primary School,Hackney,43.9,4.5,51.530873,-0.083984
100267,St Matthias Church of England Primary School,Tower Hamlets,43.4,4.7,51.523987,-0.070463
100268,St Monica's Roman Catholic Primary School,Hackney,42.3,2.6,51.528416,-0.080613
100270,St John of Jerusalem Church of England Primary School,Hackney,41.4,2.8,51.540081,-0.050156
100271,St Mary's Church of England Primary School,Richmond upon Thames,33.2,3.2,51.449599,-0.32733
100274,St Scholastica's Catholic Primary School,Hackney,38.1,3.6,51.558535,-0.05997
100275,Simon Marks Jewish Primary School,Hackney,35.5,4.5,51.565398,-0.06936
100277,Haggerston School,Hackney,39.5,6,51.532385,-0.071492
100279,Stoke Newington School and Sixth Form,Hackney,37.5,5,51.557887,-0.084609
100284,The Urswick School - A Church of England Secondary School,Hackney,46.7,5.6,51.544465,-0.052622
100321,Addison Primary School,Hammersmith and Fulham,39.6,4.6,51.500294,-0.218353
100322,Avonmore Primary School,Hammersmith and Fulham,47.6,4.9,51.494897,-0.209334
100324,Brackenbury Primary School,Hammersmith and Fulham,40.7,4.6,51.499839,-0.232274
100326,Miles Coverdale Primary School,Hammersmith and Fulham,39,3.4,51.504862,-0.229054
100328,Flora Gardens Primary School,Hammersmith and Fulham,42,4.4,51.494835,-0.23547
100331,Kenmont Primary School,Hammersmith and Fulham,46.4,3.4,51.531694,-0.235496
100334,Melcombe Primary School,Hammersmith and Fulham,46.9,4.4,51.486183,-0.221141
100335,Old Oak Primary School,Hammersmith and Fulham,36.4,4.7,51.519432,-0.246564
100338,Sir John Lillie Primary School,Hammersmith and Fulham,40.7,3.7,51.483267,-0.209223
