URN,EstablishmentName,LocalAuthority,NO2,PERCTOT,Latitude,Longitude
100803,Michael Faraday School,Southwark,40.7,3.3,51.485253,-0.088389
100808,Riverside Primary School,Southwark,40.1,4.5,51.521665,0.118418
100809,Robert Browning Primary School,Southwark,41.5,3.3,51.489125,-0.09311
100810,Rotherhithe Primary School,Southwark,42.5,4.1,51.491579,-0.049864
100811,Snowsfields Primary School,Southwark,43.9,4.4,51.50151,-0.083876
100813,Tower Bridge Primary School,Southwark,55,4,51.501587,-0.077014
100814,Townsend Primary School,Southwark,50.2,2.9,51.492573,-0.084496
100816,Charlotte Sharman Primary School,Southwark,51.1,5.4,51.495317,-0.106178
100817,Phoenix Primary School,Southwark,42.5,3.8,51.486138,-0.067207
100818,Pilgrims' Way Primary School,Southwark,41.6,3.8,51.480484,-0.055939
100819,Alfred Salter Primary School,Southwark,37.1,3.6,51.499604,-0.043571
100821,Oliver Goldsmith Primary School,Southwark,44.9,4.1,51.583252,-0.258701
100822,Boutcher Church of England Primary School,Southwark,42.1,2.7,51.494377,-0.076079
100823,Dulwich Village Church of England Infants' School,Southwark,39.8,2.2,51.451626,-0.087088
100824,English Martyrs Roman Catholic Primary School,Tower Hamlets,55.9,2.5,51.512763,-0.070909
100825,St James the Great Roman Catholic Primary School,Southwark,45.1,2.6,51.474356,-0.073105
100826,St Francis RC Primary School,Southwark,39.5,2.9,51.480031,-0.067051
100827,St George's Church of England Primary School,Southwark,40.2,1.8,51.478955,-0.082661
100828,St George's Cathedral Catholic Primary School,Southwark,64.30,3.8,51.497774,-0.106868
100829,St James' Church of England Primary School,Southwark,46.6,3.8,51.497838,-0.067779
100831,St John's Walworth Church of England Primary School,Southwark,47.8,2.4,51.491101,-0.095174
100832,St Joseph's Roman Catholic Primary School,Southwark,43.6,2.3,51.544262,-0.250902
100833,St Joseph's Catholic Primary School,Lewisham,40,2.7,51.408685,-0.294968
100835,St Jude's Church of England Primary School,Southwark,55.6,3.3,51.496859,-0.105365
100836,St Mary Magdalene Church of England Primary School,Southwark,37.9,3.2,51.468549,-0.062911
100837,Peter Hills with St Mary's and St Paul's CofE Primary School,Southwark,40.2,4.9,51.506195,-0.042481
100839,St Peter's Church of England Primary School,Southwark,46.2,3.2,51.486169,-0.093305
100840,The Cathedral School of St Saviour and St Mary Overy,Southwark,51.4,2.9,51.503534,-0.093765
100841,St John's Roman Catholic Primary School,Southwark,36.5,4.9,51.500298,-0.041509
100849,St Saviour's and St Olave's Church of England School,Southwark,54.9,3.5,51.494664,-0.087592
100851,St Francesca Cabrini Primary School,Southwark,39,4.4,51.449531,-0.052117
100852,St Anthony's Catholic Primary School,Southwark,38.3,2.7,51.449708,-0.0721
100853,St Joseph's Catholic Junior School,Waltham Forest,33.5,2.4,51.568924,-0.016413
100854,St Joseph's Catholic Infants School,Southwark,41.1,2.8,51.479502,-0.099718
100855,Friars Primary Foundation School,Southwark,47.8,5,51.500908,-0.103252
100857,The St Thomas the Apostle College,Southwark,36.6,3.5,51.471233,-0.05658
100859,Notre Dame Roman Catholic Girls' School,Southwark,55.9,3.9,51.49698,-0.106138
100890,Ben Jonson Primary School,Tower Hamlets,37.6,3.8,51.520956,-0.037771
100891,Bonner Primary School,Tower Hamlets,42.9,4.2,51.529736,-0.04832
100892,Old Palace Primary School,Tower Hamlets,43.1,3.9,51.526418,-0.012464
100893,Canon Barnett Primary School,Tower Hamlets,57.20,4.1,51.515849,-0.07098
100894,Cayley Primary School,Tower Hamlets,38,3.4,51.516153,-0.038394
100895,Blue Gate Fields Junior School,Tower Hamlets,50.3,3.7,51.510555,-0.054314
100896,Chisenhale Primary School,Tower Hamlets,39.1,3.7,51.533268,-0.038509
100897,Columbia Primary School,Tower Hamlets,40.2,4.2,51.529335,-0.069213
100898,Cubitt Town Junior School,Tower Hamlets,37.8,4.5,51.495321,-0.011887
100900,Cyril Jackson Primary School,Tower Hamlets,41.4,3.5,51.511189,-0.029758
100902,Globe Primary School,Tower Hamlets,42.9,3.7,51.529399,-0.05129
100903,Hague Primary School,Tower Hamlets,40.3,2.8,51.524654,-0.059104
100904,Harbinger Primary School,Tower Hamlets,38.4,4.8,51.489309,-0.020114
100906,John Scurr Primary School,Tower Hamlets,39.4,4.1,51.523209,-0.051093
100907,Lawdale Junior School,Tower Hamlets,40.4,2.9,51.528448,-0.062835
100908,Elizabeth Selby Infants' School,Tower Hamlets,41.5,5,51.528665,-0.062913
100911,Marion Richardson Primary School,Tower Hamlets,42.9,4.2,51.514423,-0.046222
100912,Marner Primary School,Tower Hamlets,48.9,4.8,51.522927,-0.012371
100913,Mayflower Primary School,Tower Hamlets,42.7,3.6,51.511587,-0.020316
100914,Mowlem Primary School,Tower Hamlets,39.6,2.2,51.533853,-0.055281
100915,Blue Gate Fields Infants' School,Tower Hamlets,50.3,4.2,51.510555,-0.054314
100916,Olga Primary School,Tower Hamlets,39.9,4.7,51.53072,-0.036672
100917,Redlands Primary School,Tower Hamlets,39.6,3.3,51.519424,-0.051069
100920,Manorfield Primary School,Tower Hamlets,37.8,4.5,51.518259,-0.013268
100923,Stewart Headlam Primary School,Tower Hamlets,39.8,13.2,51.523264,-0.059785
100926,Virginia Primary School,Tower Hamlets,44.1,2.7,51.526992,-0.074344
100927,Wellington Primary School,Tower Hamlets,38.7,3.1,51.47453,-0.376902
100928,Woolmore Primary School,Tower Hamlets,61.80,2.6,51.510688,-0.008034
100930,Thomas Buxton Primary School,Tower Hamlets,40.5,7.9,51.521746,-0.064864
100931,Seven Mills Primary School,Tower Hamlets,37.2,4.2,51.498379,-0.023611
100932,Cubitt Town Infants' School,Tower Hamlets,37.8,5,51.495321,-0.011887
100934,Osmani Primary School,Tower Hamlets,40.5,2.5,51.520792,-0.064832
100935,Shapla Primary School,Tower Hamlets,51.6,3.5,51.51009,-0.065848
100936,Hermitage Primary School,Tower Hamlets,40,4.3,51.549652,-0.473447
100937,Bangabandhu Primary School,Tower Hamlets,39.8,4,51.525723,-0.051433
100938,Halley Primary School,Tower Hamlets,38.8,2.7,51.517706,-0.036035
100939,Bigland Green Primary School,Tower Hamlets,42.7,3.2,51.512676,-0.058576
100940,Kobi Nazrul Primary School,Tower Hamlets,44.9,4.4,51.516109,-0.064269
100943,William Davis Primary School,Tower Hamlets,39.9,3.2,51.524492,-0.066708
100944,Christ Church CofE School,Tower Hamlets,42.9,3.9,51.518304,-0.071525
100949,St Agnes RC Primary School,Tower Hamlets,47.8,4.7,51.527342,-0.018681
100950,St Anne's Catholic Primary School,Tower Hamlets,39.3,5.1,51.521129,-0.066144
100951,St Edmund's Catholic School,Tower Hamlets,39.2,4.3,51.492166,-0.024226
100953,St John's Church of England Primary School,Bromley,34.8,4.3,51.530025,-0.054377
100954,St Luke's Church of England Primary School,Lambeth,35.4,5.1,51.490246,-0.005337
100956,St Matthias Church of England Primary School,Tower Hamlets,43.4,4,51.523987,-0.070463
100958,St Paul with St Luke CofE Primary School,Tower Hamlets,42.2,3.3,51.517961,-0.029194
100959,St Paul's Whitechapel Church of England Primary School,Tower Hamlets,51.6,3.6,51.51009,-0.065848
100960,St Peter's London Docks CofE Primary School,Tower Hamlets,39.1,3.3,51.507639,-0.05523
100961,St Saviour's Church of England Primary School,Waltham Forest,35.8,13.1,51.516264,-0.016497
100962,English Martyrs Roman Catholic Primary School,Tower Hamlets,55.9,3.1,51.512763,-0.070909
100965,Bow School,Tower Hamlets,51.5,4.2,51.523391,-0.009497
100966,Langdon Park Community School,Tower Hamlets,38,5.2,51.514785,-0.012149
100967,Morpeth School,Tower Hamlets,37.8,5.7,51.52678,-0.04849
100972,Oaklands School,Tower Hamlets,40.2,4.3,51.529239,-0.061721
100973,Swanlea School,Tower Hamlets,39.7,4.3,51.520741,-0.060078
100974,George Green's School,Tower Hamlets,37.4,6,51.488126,-0.007634
100975,Central Foundation Girls' School,Tower Hamlets,42.5,3.7,51.527391,-0.028569
100977,Sir John Cass Foundation and Redcoat Church of England Secondary School,Tower Hamlets,38.4,3.8,51.516251,-0.044212
100979,Raine's Foundation School,Tower Hamlets,41.9,7.6,51.531268,-0.051787
100995,Alderbrook Primary School,Wandsworth,39.6,5.2,51.448518,-0.148803
100996,Allfarthing Primary School,Wandsworth,37.2,4.3,51.454218,-0.186194
100997,Beatrix Potter Primary School,Wandsworth,35.5,3.7,51.443969,-0.182297
101001,Brandlehow Primary School,Wandsworth,38.7,2.4,51.461379,-0.207417
101002,Broadwater Primary School,Wandsworth,35.9,4.2,51.430867,-0.17361
101005,Earlsfield Primary School,Wandsworth,39.5,3.8,51.441436,-0.185941
101006,Falconbrook Primary School,Wandsworth,42.1,5,51.468122,-0.174056
101007,Fircroft Primary School,Wandsworth,35.4,4.2,51.436881,-0.164263
101009,Furzedown Primary School,Wandsworth,33.7,3.4,51.421949,-0.153139
101011,Honeywell Junior School,Wandsworth,39.1,3.6,51.454739,-0.161905
101012,Honeywell Infant School,Wandsworth,39.1,3.1,51.454739,-0.161905
101013,Hotham Primary School,Wandsworth,35.4,4.1,51.464232,-0.221197
101014,John Burns Primary School,Wandsworth,39.3,2.6,51.469505,-0.152788
101016,Penwortham Primary School,Wandsworth,34.9,4.4,51.422392,-0.145872
101017,Ravenstone Primary School,Wandsworth,39.8,4.1,51.441689,-0.152673
101018,Riversdale Primary School,Wandsworth,38.8,4.5,51.446602,-0.199102
101019,Sellincourt Primary School,Wandsworth,34.8,4.7,51.423173,-0.167559
101020,Shaftesbury Park Primary School,Wandsworth,39.4,4.3,51.468765,-0.156634
101021,Smallwood Primary School and Language Unit,Wandsworth,36.5,5.3,51.431215,-0.178099
101022,Swaffield Primary School,Wandsworth,36.9,4,51.451527,-0.186056
101024,West Hill Primary School,Wandsworth,45.9,4.9,51.455576,-0.199037
101026,Sheringdale Primary School,Wandsworth,35.5,3.5,51.446915,-0.203666
101027,Southmead Primary School,Wandsworth,33.6,5,51.445289,-0.216106
101028,Granard Primary School,Wandsworth,33.7,5.2,51.455651,-0.232917
101029,Heathmere Primary School,Wandsworth,32.9,5.6,51.445642,-0.241908
101031,Ronald Ross Primary School,Wandsworth,36.6,5.3,51.448359,-0.21576
101032,Albemarle Primary School,Wandsworth,33.6,4,51.442025,-0.213801
101034,All Saints' CofE Primary School,Merton,33.5,2.9,51.418906,-0.183986
101035,Christ Church CofE Primary School,Wandsworth,39,4.5,51.391855,-0.286632
101036,Holy Ghost Catholic Primary School,Wandsworth,35.5,1.6,51.447871,-0.156353
101037,Our Lady of Victories Catholic Primary School,Wandsworth,36.2,2,51.463822,-0.223229
101038,Roehampton CofE Primary School,Wandsworth,38.5,4.8,51.448266,-0.237533
101041,St Anne's CofE Primary School,Wandsworth,47,4.3,51.456215,-0.189152
101042,St Boniface RC Primary School,Wandsworth,41,2.9,51.427354,-0.164601
101043,St Faith's CofE Primary School,Wandsworth,39.4,3.8,51.459412,-0.186549
101044,St George's CofE Primary School,Wandsworth,38.6,2.9,51.47717,-0.139331
101045,St Joseph's RC Primary School,Westminster,44.9,3.9,51.527418,-0.182234
101046,St Mary's CofE Primary School,Wandsworth,36,2.9,51.585901,-0.115275
101047,Trinity St Mary's CofE Primary School,Wandsworth,38.7,3.5,51.442541,-0.155387
101048,St Mary's RC Voluntary Aided Primary School,Wandsworth,48.9,4.5,51.476612,-0.146068
101049,St Michael's CofE Primary School,Wandsworth,36.8,2.7,51.664068,-0.088176
101050,Sacred Heart Catholic Primary School,Merton,37.7,4.6,51.400364,-0.240655
101051,Our Lady Queen of Heaven RC School,Wandsworth,39.1,2.9,51.448314,-0.220492
101052,St Anselm's Catholic Primary School,Wandsworth,43.1,2,51.575942,-0.3401
101053,Ernest Bevin College,Wandsworth,34.7,5.1,51.440844,-0.171014
101057,Hillbrook School,Wandsworth,34.9,5.3,51.432467,-0.160929
101107,Barrow Hill Junior School,Westminster,40.6,3.1,51.532798,-0.169101
101110,Edward Wilson Primary School,Westminster,42.1,5.2,51.521681,-0.189194
101111,Essendine Primary School,Westminster,40.3,4.4,51.527596,-0.195335
101115,George Eliot Primary School,Westminster,46.3,5,51.538642,-0.177071
101116,Hallfield Primary School,Westminster,42.9,5.2,51.514939,-0.186435
101117,Robinsfield Infant School,Westminster,39,4.2,51.53518,-0.170144
101120,Queen's Park Primary School,Westminster,41.2,4.9,51.527467,-0.209349
101121,All Souls CofE Primary School,Westminster,47.9,4.2,51.519846,-0.13863
101122,Burdett-Coutts and Townshend Foundation CofE Primary School,Westminster,47.6,3.7,51.495114,-0.135028
101123,Hampden Gurney CofE Primary School,Westminster,58.90,3,51.516785,-0.164079
101124,Our Lady of Dolours RC Primary School,Westminster,47.7,4.8,51.521489,-0.191306
101125,St Augustine's CofE Primary School,Westminster,41.3,2.6,51.534532,-0.191582
101126,St Barnabas' CofE Primary School,Westminster,53.1,4.1,51.490531,-0.151626
101127,St Clement Danes CofE Primary School,Westminster,65.00,4,51.513664,-0.119757
101128,St Edward's Catholic Primary School,Westminster,48.5,5,51.533109,0.036822
101129,St Gabriel's CofE Primary School,Westminster,46.6,4.9,51.486326,-0.142271
101130,St George's Hanover Square CofE Primary School,Westminster,47.4,4.6,51.508823,-0.150118
101131,Soho Parish CofE Primary School,Westminster,52.9,3.9,51.51174,-0.134392
101132,St James & St John Church of England Primary School,Westminster,45.7,2.9,51.512948,-0.179264
101133,St Joseph's RC Primary School,Westminster,44.9,3.1,51.527418,-0.182234
101134,St Luke's CofE Primary School,Westminster,45.1,4,51.41624,-0.296305
101135,St Mary Magdalene CofE Primary School,Westminster,40.3,4.5,51.522465,-0.189278
101136,St Mary's Bryanston Square CofE School,Westminster,67.00,3.9,51.520286,-0.161977
101139,St Peter's CofE School,Westminster,45.7,4.1,51.523712,-0.196133
101140,St Peter's Eaton Square CofE Primary School,Westminster,64.30,3.4,51.496014,-0.146415
101141,St Saviour's CofE Primary School,Westminster,41.6,2.9,51.524157,-0.188245
101142,St Stephen's CofE Primary School,Westminster,48,3.6,51.519037,-0.19505
101143,St Vincent's Catholic Primary School,Ealing,35.9,3.6,51.512495,-0.273454
101144,St Vincent de Paul RC Primary School,Westminster,56.90,4.5,51.495798,-0.140104
101146,Westminster Cathedral RC Primary School,Westminster,54.5,4.7,51.488059,-0.131945
101147,Christ Church Bentinck CofE Primary School,Westminster,64.10,3.6,51.521452,-0.166385
101154,St Augustine's CofE High School,Westminster,41.2,4.8,51.534275,-0.192443
101188,Dorothy Barley Infants' School,Barking and Dagenham,30.9,4,51.546361,0.11723
101192,Manor Junior School,Barking and Dagenham,30.7,3.6,51.543667,0.102495
101193,Manor Infants' School/Manor Longbridge,Barking and Dagenham,30.7,4.3,51.543667,0.102495
101196,Northbury Primary School,Barking and Dagenham,37.9,3.5,51.541322,0.075201
101198,Ripple Primary School,Barking and Dagenham,39.1,3.2,51.536256,0.089998
101202,Beam Primary School,Barking and Dagenham,28.8,3.4,51.528437,0.164134
101203,Furze Infants' School,Barking and Dagenham,33.9,3.9,51.571429,0.140705
101206,Grafton Primary School,Islington,46.8,4.9,51.558381,0.139311
101210,Marks Gate Infants' School,Barking and Dagenham,26.7,5.2,51.584644,0.137039
101211,Marsh Green Primary School,Barking and Dagenham,33.2,3,51.531464,0.151618
101212,Rush Green Primary School,Barking and Dagenham,29.5,5.3,51.563123,0.176718
101216,The Leys Primary School,Barking and Dagenham,28.4,4.8,51.535961,0.168659
101219,Warren Junior School,Barking and Dagenham,31.9,4.2,51.575099,0.142667
101220,Thomas Arnold Primary School,Barking and Dagenham,30.1,3.9,51.536926,0.145027
101222,Valence Primary School,Barking and Dagenham,29.9,4,51.55822,0.132251
101223,Village Infants' School,Barking and Dagenham,29.6,3.7,51.538544,0.152528
101224,Marks Gate Junior School,Barking and Dagenham,27.1,4.7,51.585411,0.135877
101226,William Bellamy Primary School,Barking and Dagenham,30.7,4.3,51.558227,0.154541
101227,Parsloes Primary School,Barking and Dagenham,32.6,4.4,51.542836,0.144958
101228,Five Elms Primary School,Barking and Dagenham,32.2,4.6,51.555094,0.145362
101229,Henry Green Primary School,Barking and Dagenham,33,4.7,51.561847,0.12763
101230,Roding Primary School,Redbridge,29.7,4.6,51.603912,0.055166
101231,Becontree Primary School,Barking and Dagenham,28.8,3.8,51.555826,0.117973
101232,John Perry Primary School,Barking and Dagenham,27.5,4.2,51.541424,0.171355
101235,St Joseph's Catholic Primary School,Lewisham,40,2.1,51.408685,-0.294968
101236,St Joseph's Catholic Primary School,Lewisham,40,2.5,51.408685,-0.294968
101237,St Peter's Catholic Primary School,Havering,26.5,1.9,51.584661,0.178642
101238,The St Teresa Catholic Primary School,Barking and Dagenham,31.7,2.8,51.550677,0.124239
101239,St Vincent's Catholic Primary School,Ealing,35.9,3,51.512495,-0.273454
101243,Eastbrook School,Barking and Dagenham,29.8,6.2,51.551477,0.163726
101244,Eastbury Community School,Barking and Dagenham,32.5,5.7,51.542521,0.090126
101245,Robert Clack School,Barking and Dagenham,33.4,5.3,51.562689,0.153958
101247,All Saints Catholic School and Technology College,Barking and Dagenham,28.6,3.8,51.562827,0.15131
101258,Barnfield Primary School,Barnet,35.2,4.2,51.600992,-0.264693
101259,Bell Lane Primary School,Barnet,34.3,5.1,51.587079,-0.215714
101262,Brookland Junior School,Barnet,35,4,51.589937,-0.188058
101263,Brookland Infant and Nursery School,Barnet,35,4.8,51.589937,-0.188058
101264,Brunswick Park Primary and Nursery School,Barnet,33.3,5.1,51.630873,-0.147584
101265,Childs Hill School,Barnet,36.3,4.7,51.562266,-0.206929
101266,Church Hill School,Barnet,29.1,4.5,51.635275,-0.159269
101269,Colindale Primary School,Barnet,33.7,5.1,51.590187,-0.246515
101270,Coppetts Wood Primary School,Barnet,32.3,4,51.602472,-0.153058
101271,Courtland School,Barnet,35.5,2.9,51.627218,-0.2529
101272,Cromer Road Primary School,Barnet,26.5,4.1,51.653674,-0.177187
101274,Deansbrook Infant School,Barnet,30.5,5.4,51.612646,-0.26203
101277,Edgware Primary School,Barnet,31.4,6.1,51.609157,-0.273813
101278,Fairway Primary School and Children's Centre,Barnet,30.5,4.2,51.627391,-0.256424
101279,Foulds School,Barnet,26.2,3.3,51.656767,-0.211717
101280,Frith Manor Primary School,Barnet,31.3,3.9,51.614608,-0.203008
101281,Garden Suburb Junior School,Barnet,34.4,4.4,51.585518,-0.198522
101282,Garden Suburb Infant School,Barnet,34.4,5,51.585518,-0.198522
101283,Goldbeaters Primary School,Barnet,32.9,5.2,51.60414,-0.256636
101285,Hollickwood Primary School,Barnet,32.7,3.9,51.604996,-0.144883
101286,Holly Park Primary School,Barnet,30.4,4.4,51.616916,-0.151261
101289,Livingstone Primary and Nursery School,Barnet,25.9,3.2,51.654561,-0.167205
101290,Manorside Primary School,Barnet,35.3,3.8,51.600899,-0.180503
101293,Monkfrith Primary School,Barnet,28.7,4.2,51.636762,-0.146333
101294,Moss Hall Junior School,Barnet,30.9,3.8,51.610667,-0.186511
101295,Moss Hall Infant School,Barnet,30.9,3.7,51.609823,-0.183869
101296,Northside Primary School,Barnet,30.5,3.8,51.615988,-0.179549
101298,Woodridge Primary School,Barnet,28.1,3.1,51.623922,-0.193708
101299,Tudor Primary School,Ealing,31.6,4.8,51.513591,-0.384565
101301,Underhill School,Barnet,27.7,4.9,51.645,-0.207223
101304,Whitings Hill Primary School,Barnet,26.5,4.4,51.646174,-0.216991
101309,Chalgrove Primary School,Barnet,33.4,3.9,51.592014,-0.205816
101311,Sunnyfields Primary School,Barnet,35.5,4.2,51.59157,-0.232281
101312,Queenswell Infant & Nursery School,Barnet,29.8,5.8,51.627427,-0.17018
101313,Queenswell Junior School,Barnet,29.8,4.9,51.627427,-0.17018
101314,Danegrove Primary School,Barnet,30.6,4.3,51.643612,-0.157616
101315,All Saints' CofE Primary School NW2,Barnet,39.4,4.5,51.562234,-0.200121
101316,Christ Church Primary School,Barnet,25.2,2.5,51.657673,-0.213315
101317,Holy Trinity CofE Primary School,Merton,32.8,3.7,51.422484,-0.195002
101318,Monken Hadley CofE Primary School,Barnet,25.8,3.5,51.66346,-0.187798
101319,St John's CofE Junior Mixed and Infant School,Barnet,30.5,4,51.616575,-0.153829
101321,St John's CofE Primary School,Enfield,26.4,3.9,51.674209,-0.095369
101323,St Mary's CofE Primary School,Wandsworth,36,3.7,51.585901,-0.115275
101324,St Mary's CofE Primary School,Wandsworth,36,3.2,51.585901,-0.115275
101325,St Paul's CofE Primary School N11,Barnet,37.9,3.3,51.616307,-0.144234
101326,St Paul's CofE Primary School NW7,Barnet,29.3,3.8,51.62035,-0.230802
101328,Trent CofE Primary School,Barnet,27.6,2.7,51.650317,-0.152877
101329,All Saints' CofE Primary School N20,Barnet,32.8,3.5,51.629706,-0.169279
101331,Our Lady of Lourdes RC School,Barnet,37.3,3.7,51.604985,-0.178069
101332,St Agnes RC School,Barnet,39,3.9,51.560493,-0.210909
101333,St Catherine's RC School,Barnet,33.1,3.3,51.648828,-0.194727
101334,St Vincent's Catholic Primary School,Ealing,35.9,3.7,51.512495,-0.273454
101335,St Theresa's Catholic Primary School,Barnet,36.1,3.4,51.594592,-0.188086
101337,St Joseph's Catholic Primary School,Lewisham,40,3.5,51.408685,-0.294968
101338,Sacred Heart Roman Catholic Primary School,Richmond upon Thames,30.2,2.7,51.4211,-0.320913
101340,Rosh Pinah Primary School,Barnet,28.5,3.3,51.626545,-0.270399
101341,Menorah Primary School,Barnet,34.5,3.9,51.57456,-0.207023
101342,The Annunciation RC Junior School,Barnet,30.5,3.4,51.611876,-0.258256
101345,Friern Barnet School,Barnet,30.9,6.9,51.61608,-0.154704
101356,Osidge Primary School,Barnet,32.5,3.2,51.634333,-0.134337
101361,St Michael's Catholic Grammar School,Barnet,30.9,4.6,51.61441,-0.180786
101362,Finchley Catholic High School,Barnet,29.2,3.8,51.622216,-0.18164
101364,St James' Catholic High School,Barnet,36.7,4.2,51.600828,-0.240961
101376,Mathilda Marks-Kennedy Jewish Primary School,Barnet,34.7,3,51.615928,-0.255954
101402,Crook Log Primary School,Bexley,30.7,4.1,51.458968,0.127218
101403,Danson Primary School,Bexley,29,4.3,51.457385,0.108791
101409,Hook Lane Primary School,Bexley,30.8,3.8,51.461811,0.102675
101413,Upton Primary School,Bexley,36.5,3.2,51.449383,0.135005
101426,Birkbeck Primary School,Bexley,30.6,3.2,51.431935,0.105806
101429,Longlands Primary School,Bexley,29.8,4,51.430798,0.090965
101434,Dulverton Primary School,Bexley,29.5,3.2,51.43549,0.080963
101437,Parkway Primary School,Bexley,29.2,2.9,51.493564,0.134619
101438,Belvedere Infant School,Bexley,32.6,4.2,51.491001,0.159667
101451,Foster's Primary School,Bexley,29,4.1,51.463108,0.121566
101455,St Stephen's Catholic Primary School,Bexley,30.5,2.5,51.464152,0.104021
101456,Our Lady of the Rosary Catholic Primary School,Bexley,29.2,3.8,51.44793,0.092927
101457,St Joseph's Catholic Primary School,Lewisham,40,3,51.408685,-0.294968
101458,St Fidelis Catholic Primary School,Bexley,30.1,2.6,51.476274,0.162859
101459,St Thomas More Catholic Primary School,Greenwich,33.4,2.8,51.466788,0.139288
101460,St John Fisher Catholic Primary School,Harrow,28.2,1.6,51.537933,-0.311808
101461,St Peter Chanel Catholic Primary School,Bexley,28.9,3.7,51.420351,0.118319
101495,Anson Primary School,Brent,38.3,4.2,51.553909,-0.220298
101496,Brentfield Primary School,Brent,37.7,3.6,51.547025,-0.263776
101497,Byron Court Primary School,Brent,29.9,3.8,51.569244,-0.31238
101498,Carlton Vale Infant School,Brent,42.3,5.9,51.532184,-0.200888
101499,Harlesden Primary School,Brent,41.8,4.1,51.536862,-0.253983
101500,Mount Stewart Junior School,Brent,29.8,4,51.578141,-0.300836
101501,Mount Stewart Infant School,Brent,29.6,5.5,51.578141,-0.300836
101502,Uxendon Manor Primary School,Brent,29.7,4.6,51.583378,-0.297971
101503,Kingsbury Green Primary School,Brent,31,3.8,51.584316,-0.270482
101504,Leopold Primary School,Brent,37.6,6,51.544447,-0.246876
101507,Malorees Infant School,Brent,34.9,4.1,51.541562,-0.214756
101508,Northview Junior and Infant School,Brent,37.4,5.3,51.555494,-0.246735
101509,Park Lane Primary School,Brent,37.5,3.6,51.555883,-0.293848
101510,Preston Park Primary School,Brent,30.6,4.5,51.571951,-0.30062
101511,Roe Green Junior School,Brent,30.6,4,51.589975,-0.272476
101512,Roe Green Infant School,Brent,30.6,4.1,51.589975,-0.272476
101515,Barham Primary School,Brent,31.9,3.3,51.54889,-0.305258
101518,Wykeham Primary School,Havering,26.7,3.3,51.562463,-0.254546
101519,Elsley Primary School,Brent,32.3,3.6,51.549022,-0.287051
101520,Donnington Primary School,Brent,34.4,3.7,51.541827,-0.233464
101521,The Stonebridge School,Brent,39.9,4.6,51.540641,-0.26365
101522,Newfield Primary School,Brent,35.8,5.5,51.542321,-0.24316
101524,Mitchell Brook Primary School,Brent,35,4.8,51.54739,-0.25508
101526,Chalkhill Primary School,Brent,32.4,3.4,51.562013,-0.27015
101527,Salusbury Primary School,Brent,38.1,3.6,51.537705,-0.206572
101528,Oliver Goldsmith Primary School,Southwark,44.9,2.3,51.583252,-0.258701
101530,Mora Primary School,Brent,34.3,3.6,51.558902,-0.225027
101531,Fryent Primary School,Brent,33.3,5.1,51.577814,-0.263123
101533,Christ Church CofE Primary School,Wandsworth,39,4.9,51.391855,-0.286632
101534,John Keble CofE Primary School,Brent,43.7,3.5,51.537903,-0.24718
101535,Princess Frederica CofE Primary School,Brent,38.8,2.3,51.533,-0.224934
101537,St Mary's CofE Primary School,Wandsworth,36,3.7,51.585901,-0.115275
101538,Our Lady of Grace Catholic Junior School,Brent,35.1,3.5,51.561503,-0.233101
101539,St Joseph RC Junior School,Brent,35.7,3,51.552361,-0.286666
101543,St Robert Southwell RC Primary School,Brent,30.8,3,51.582502,-0.266957
101544,Convent of Jesus and Mary RC Infant School,Brent,40.3,3,51.548433,-0.226843
101545,Our Lady of Lourdes RC Primary School,Redbridge,38.2,3.4,51.574658,0.020524
101546,St Joseph's RC Infant School,Croydon,34.5,3.5,51.422384,-0.099917
101547,Our Lady of Grace RC Infant and Nursery School,Brent,39.9,4.4,51.563382,-0.22593
101548,St Margaret Clitherow RC Primary School,Brent,32.6,4,51.561766,-0.260921
101549,Sinai Jewish Primary School,Brent,30.4,3.3,51.57949,-0.281706
101554,Malorees Junior School,Brent,34.7,5,51.541562,-0.214756
101555,St Joseph's Roman Catholic Primary School,Southwark,43.6,2.2,51.544262,-0.250902
101556,The Kilburn Park School Foundation,Brent,41.8,4.3,51.532211,-0.19969
101564,Newman Catholic College,Brent,38.8,4.7,51.537586,-0.239233
101574,Islamia Primary School,Brent,37.6,4.4,51.539614,-0.207939
101601,Southborough Primary School,Bromley,28.4,5.3,51.389873,0.056786
101614,Downe Primary School,Bromley,23.5,4.1,51.33655,0.054987
101635,Edgebury Primary School,Bromley,28.1,2.9,51.423679,0.071509
101641,Poverest Primary School,Bromley,26.4,4,51.391199,0.097179
101676,St Olave's and St Saviour's Grammar School,Bromley,24.8,3.3,51.367303,0.104248
101712,Beulah Junior School,Croydon,32.7,4.6,51.403887,-0.099939
101720,Elmwood Junior School,Croydon,32.9,2.8,51.387342,-0.105623
101721,Elmwood Infant School,Croydon,32.9,4,51.387342,-0.105623
101725,Howard Primary School,Croydon,33.6,2.9,51.364876,-0.101594
101733,Purley Oaks Primary School,Croydon,32.6,5.3,51.352361,-0.095706
101745,Winterbourne Junior Girls' School,Croydon,33.3,4.2,51.399248,-0.113961
101746,Winterbourne Nursery and Infants' School,Croydon,33.3,5.5,51.399248,-0.113961
101753,Kenley Primary School,Croydon,25.9,4,51.315023,-0.086318
101756,Beaumont Primary School,Croydon,28.7,3.4,51.325771,-0.120261
101758,Gresham Primary School,Croydon,29.8,2.6,51.334811,-0.077742
